age,ast_pct,blk_pct,bpm,bpm-dum,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,href,mp,obpm,orb_pct,ows,per,player,player_id,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws-dum,ws_per_48,birthplace
27,,,,,,,2.1,,.428,65,/players/f/fleisje01.html,,,,-0.5,,Jerry Fleishman,fleisje01,SG,1950.0,,PHW,,,.354,,,1.6,,,"Brooklyn, New York"
28,,,,,,,3.7,,.348,68,/players/f/fulksjo01.html,,,,-4.4,,Joe Fulks*,fulksjo01,PF,1950.0,,PHW,,,.346,,,-0.8,,,"Birmingham, Kentucky"
27,,,,,,,2.8,,.340,56,/players/g/gaborbi01.html,,,,0.7,,Bill Gabor,gaborbi01,SG,1950.0,,SYR,,,.395,,,3.5,,,"Binghamton, New York"
31,,,,,,,-0.1,,.229,15,/players/g/gaineel01.html,,,,-0.2,,Elmer Gainer,gaineel01,F-C,1950.0,,WAT,,,.312,,,-0.3,,,"Chicago, Illinois"
22,,,,,,,1.4,,.551,68,/players/g/gallaha01.html,,,,6.5,,Harry Gallatin*,gallaha01,F-C,1950.0,,NYK,,,.487,,,7.8,,,"Roxana, Illinois"
24,,,,,,,3.6,,.323,63,/players/g/gardnve01.html,,,,2.2,,Vern Gardner,gardnve01,SG,1950.0,,PHW,,,.408,,,5.9,,,"Afton, Wyoming"
29,,,,,,,3.0,,.244,64,/players/g/gatesfr01.html,,,,-1.7,,Frank Gates,gatesfr01,G,1950.0,,AND,,,.322,,,1.3,,,"Huntsville, Texas"
26,,,,,,,1.0,,.722,44,/players/g/gibsode01.html,,,,1.7,,Dee Gibson,gibsode01,F-G,1950.0,,TRI,,,.435,,,2.7,,,"Cleveland, Tennessee"
28,,,,,,,-0.2,,.328,32,/players/g/gibsoho01.html,,,,0.2,,Hoot Gibson,gibsoho01,F-C,1950.0,,TOT,,,.394,,,0.0,,,"Des Moines, Iowa"
27,,,,,,,2.0,,.636,68,/players/g/gilmuch01.html,,,,2.3,,Chuck Gilmur,gilmuch01,F-C,1950.0,,WSC,,,.431,,,4.3,,,"Seattle, Washington"
22,,,,,,,0.0,,.000,1,/players/g/glickno01.html,,,,0.0,,Normie Glick,glickno01,F,1950.0,,MNL,,,1.000,,,0.1,,,"Los Angeles, California"
22,,,,,,,0.0,,.833,4,/players/g/gordopa01.html,,,,-0.1,,Paul Gordon,gordopa01,F,1950.0,,BLB,,,.183,,,-0.1,,,"Baltimore, Maryland"
20,,,,,,,1.2,,.360,57,/players/g/grabojo01.html,,,,-0.6,,Joe Graboski,grabojo01,F-C,1950.0,,CHS,,,.355,,,0.6,,,
22,,,,,,,0.6,,.148,35,/players/g/grantbu01.html,,,,-0.1,,Bud Grant,grantbu01,F,1950.0,,MNL,,,.371,,,0.5,,,"Superior, Wisconsin"
26,,,,,,,0.0,,.333,2,/players/g/gratedo01.html,,,,0.0,,Don Grate,gratedo01,F-G,1950.0,,SHE,,,.291,,,0.0,,,"Greenfield, Ohio"
23,,,,,,,1.4,,.572,64,/players/g/grozaal01.html,,,,16.5,,Alex Groza,grozaal01,C,1950.0,,INO,,,.548,,,17.9,,,"Martins Ferry, Ohio"
24,,,,,,,-0.1,,.167,57,/players/g/guokaal01.html,,,,-0.9,,Al Guokas,guokaal01,F-G,1950.0,,TOT,,,.333,,,-1.0,,,"Philadelphia, Pennsylvania"
24,,,,,,,0.1,,.538,10,/players/h/hahnro01.html,,,,-0.1,,Robert Hahn,hahnro01,C,1950.0,,CHS,,,.311,,,0.1,,,"Ann Arbor, Michigan"
30,,,,,,,1.2,,.616,68,/players/h/halbech01.html,,,,2.4,,Chick Halbert,halbech01,C,1950.0,,WSC,,,.454,,,3.6,,,"Albany, Texas"
31,,,,,,,1.1,,.464,64,/players/h/halebr01.html,,,,4.1,,Bruce Hale,halebr01,G-F,1950.0,,INO,,,.444,,,5.1,,,"Medford, Oregon"
30,,,,,,,-0.1,,.576,14,/players/h/hamilda01.html,,,,-0.2,,Dale Hamilton,hamilda01,G-F,1950.0,,WAT,,,.302,,,-0.3,,,"Fort Wayne, Indiana"
26,,,,,,,3.2,,.381,64,/players/h/hannual01.html,,,,2.0,,Alex Hannum*,hannual01,PF,1950.0,,SYR,,,.423,,,5.1,,,"Los Angeles, California"
29,,,,,,,3.6,,.504,60,/players/h/hargijo01.html,,,,4.8,,John Hargis,hargijo01,G-F,1950.0,,AND,,,.479,,,8.4,,,"Nacogdoches, Texas"
22,,,,,,,3.0,,.480,62,/players/h/harribo01.html,,,,2.1,,Bob Harris,harribo01,F-C,1950.0,,FTW,,,.423,,,5.0,,,"Linden, Tennessee"
22,,,,,,,2.7,,.213,66,/players/h/harribo02.html,,,,0.7,,Bob Harrison,harribo02,G,1950.0,,MNL,,,.394,,,3.5,,,"Toledo, Ohio"
28,,,,,,,1.8,,.533,60,/players/h/hassebi01.html,,,,0.0,,Billy Hassett,hassebi01,G,1950.0,,TOT,,,.365,,,1.8,,,"New York, New York"
25,,,,,,,0.4,,.313,39,/players/h/hawkima01.html,,,,-0.5,,Marshall Hawkins,hawkima01,F,1950.0,,INO,,,.343,,,-0.1,,,"Huntington, West Virginia"
25,,,,,,,1.5,,.633,63,/players/h/henrybi01.html,,,,1.0,,Bill Henry,henrybi01,C,1950.0,,TOT,,,.416,,,2.5,,,"Dallas, Texas"
25,,,,,,,-0.1,,.169,13,/players/h/hermabi01.html,,,,0.1,,Bill Herman,hermabi01,G,1950.0,,DNN,,,.401,,,0.1,,,Ohio
26,,,,,,,3.3,,.402,67,/players/h/hermskl01.html,,,,-0.2,,Kleggie Hermsen,hermskl01,C-F,1950.0,,CHS,,,.377,,,3.0,,,"Hill City, Minnesota"
27,,,,,,,1.6,,.221,68,/players/h/hertzso01.html,,,,-0.9,,Sonny Hertzberg,hertzso01,G,1950.0,,BOS,,,.365,,,0.7,,,"Brooklyn, New York"
24,,,,,,,2.1,,.398,60,/players/h/hoffmpa01.html,,,,2.0,,Paul Hoffman,hoffmpa01,G-F,1950.0,,BLB,,,.403,,,4.1,,,
24,,,,,,,1.1,,.313,64,/players/h/hollajo01.html,,,,0.1,,Joe Holland,hollajo01,SF,1950.0,,INO,,,.376,,,1.2,,,"Birmingham, Kentucky"
29,,,,,,,1.7,,.336,68,/players/h/holzmre01.html,,,,0.9,,Red Holzman*,holzmre01,PG,1950.0,,ROC,,,.388,,,2.5,,,"Brooklyn, New York"
24,,,,,,,0.3,,.484,29,/players/j/jamesge01.html,,,,-0.2,,Gene James,jamesge01,F,1950.0,,NYK,,,.335,,,0.1,,,"Ironton, Ohio"
25,,,,,,,0.1,,.533,9,/players/j/janotho01.html,,,,0.1,,Howie Janotta,janotho01,F,1950.0,,BLB,,,.418,,,0.2,,,"Hackensack, New Jersey"
29,,,,,,,1.7,,.332,61,/players/j/jarosto01.html,,,,-0.4,,Tony Jaros,jarosto01,F-G,1950.0,,MNL,,,.362,,,1.3,,,"Minneapolis, Minnesota"
32,,,,,,,0.7,,.899,37,/players/j/jeannbu01.html,,,,1.9,,Buddy Jeannette*,jeannbu01,G,1950.0,,BLB,,,.467,,,2.6,,,"New Kensington, Pennsylvania"
29,,,,,,,2.4,,.782,68,/players/j/johnsar01.html,,,,4.8,,Arnie Johnson,johnsar01,SF,1950.0,,ROC,,,.493,,,7.2,,,"Gonvick, Minnesota"
28,,,,,,,4.5,,.166,67,/players/j/johnsra01.html,,,,-1.5,,Ralph Johnson,johnsra01,PG,1950.0,,TOT,,,.353,,,2.9,,,"Huntington, Indiana"
23,,,,,,,1.4,,.421,60,/players/j/joneswa01.html,,,,4.5,,Wah Wah Jones,joneswa01,PF,1950.0,,INO,,,.449,,,5.9,,,"Harlan, Kentucky"
24,,,,,,,-0.3,,.566,54,/players/j/jorgeno01.html,,,,4.1,,Noble Jorgensen,jorgeno01,C,1950.0,,SHE,,,.456,,,3.8,,,"Columbus, Ohio"
21,,,,,,,1.0,,.389,55,/players/k/kaftage01.html,,,,2.3,,George Kaftan,kaftage01,SF,1950.0,,BOS,,,.426,,,3.4,,,"New York, New York"
26,,,,,,,1.0,,.170,54,/players/k/katkale01.html,,,,-1.2,,Leo Katkaveck,katkale01,G,1950.0,,WSC,,,.333,,,-0.2,,,
25,,,,,,,2.7,,.541,68,/players/k/kerrija01.html,,,,1.4,,Jack Kerris,kerrija01,PF,1950.0,,TOT,,,.406,,,4.1,,,"Chicago, Illinois"
29,,,,,,,1.6,,.515,60,/players/k/kinnebo01.html,,,,3.2,,Bob Kinney,kinnebo01,C-F,1950.0,,BOS,,,.438,,,4.8,,,"Fort Scott, Kansas"
25,,,,,,,2.0,,.598,58,/players/k/kirkwa01.html,,,,0.3,,Walt Kirk,kirkwa01,PG,1950.0,,TOT,,,.383,,,2.3,,,"Mount Vernon, Illinois"
26,,,,,,,2.9,,.368,66,/players/k/klierle01.html,,,,0.1,,Leo Klier,klierle01,F-G,1950.0,,FTW,,,.379,,,3.0,,,"Washington, Indiana"
24,,,,,,,0.3,,.536,52,/players/k/kluehdu01.html,,,,3.4,,Duane Klueh,kluehdu01,G,1950.0,,TOT,,,.464,,,3.7,,,"Bottineau, North Dakota"
28,,,,,,,0.0,,.000,1,/players/k/knorele01.html,,,,-0.1,,Lee Knorek,knorele01,C,1950.0,,BLB,,,.000,,,0.0,,,"Rossford, Ohio"
29,,,,,,,5.2,,.290,64,/players/k/komenmi01.html,,,,-3.7,,Milo Komenich,komenmi01,F-C,1950.0,,AND,,,.326,,,1.4,,,"Gary, Indiana"
22,,,,,,,-0.8,,.297,62,/players/k/kubiale01.html,,,,1.3,,Leo Kubiak,kubiale01,G,1950.0,,WAT,,,.395,,,0.5,,,Ohio
24,,,,,,,2.8,,.265,65,/players/k/kudelfr01.html,,,,-0.4,,Frank Kudelka,kudelfr01,G-F,1950.0,,CHS,,,.367,,,2.4,,,"San Francisco, California"
27,,,,,,,-0.2,,.166,55,/players/l/lautewa01.html,,,,-1.1,,Walt Lautenbach,lautewa01,G-F,1950.0,,SHE,,,.334,,,-1.3,,,"Milwaukee, Wisconsin"
23,,,,,,,0.8,,.452,56,/players/l/lavelto01.html,,,,3.4,,Tony Lavelli,lavelto01,F,1950.0,,BOS,,,.471,,,4.2,,,"Somerville, Massachusetts"
22,,,,,,,1.3,,.623,64,/players/l/leedeed01.html,,,,3.2,,Ed Leede,leedeed01,F-G,1950.0,,BOS,,,.442,,,4.5,,,"New York, New York"
29,,,,,,,2.0,,.203,60,/players/l/levanan01.html,,,,-0.2,,Andrew Levane,levanan01,F-G,1950.0,,SYR,,,.365,,,1.8,,,"Brooklyn, New York"
29,,,,,,,0.5,,.174,34,/players/l/lewisfr01.html,,,,-1.4,,Freddie Lewis,lewisfr01,F-G,1950.0,,TOT,,,.295,,,-0.9,,,"Brooklyn, New York"
24,,,,,,,3.2,,.306,54,/players/l/livinro01.html,,,,-1.8,,Ron Livingstone,livinro01,C,1950.0,,TOT,,,.341,,,1.4,,,"Oakland, California"
29,,,,,,,0.9,,.426,62,/players/l/loganjo01.html,,,,3.4,,John Logan,loganjo01,G,1950.0,,STB,,,.419,,,4.3,,,"Richmond, Indiana"
26,,,,,,,0.8,,.382,58,/players/l/lumppra01.html,,,,0.9,,Ray Lumpp,lumppra01,G,1950.0,,NYK,,,.405,,,1.7,,,"Brooklyn, New York"
21,,,,,,,0.9,,.599,67,/players/m/macaued01.html,,,,9.7,,Ed Macauley*,macaued01,C-F,1950.0,,STB,,,.485,,,10.6,,,"St. Louis, Missouri"
27,,,,,,,1.8,,.384,59,/players/m/macknjo01.html,,,,0.9,,Johnny Macknowski,macknjo01,G-F,1950.0,,SYR,,,.405,,,2.8,,,Russia
27,,,,,,,1.6,,.232,62,/players/m/mahnkjo01.html,,,,-2.6,,John Mahnken,mahnkjo01,C,1950.0,,TOT,,,.313,,,-1.0,,,"New Jersey, New Jersey"
30,,,,,,,0.3,,.427,25,/players/m/mandijo01.html,,,,-0.1,,John Mandic,mandijo01,F-C,1950.0,,TOT,,,.370,,,0.3,,,"Los Angeles, California"
24,,,,,,,2.6,,.308,67,/players/m/martisl01.html,,,,0.9,,Slater Martin*,martisl01,PG,1950.0,,MNL,,,.395,,,3.5,,,"El Mina, Texas"
26,,,,,,,0.6,,.357,68,/players/m/maughar01.html,,,,-1.1,,Ariel Maughan,maughar01,F,1950.0,,STB,,,.359,,,-0.5,,,"Salt Lake City, Utah"
26,,,,,,,-0.1,,.409,26,/players/m/mazzama01.html,,,,0.0,,Matt Mazza,mazzama01,F,1950.0,,SHE,,,.378,,,0.0,,,"Niagara Falls, New York"
27,,,,,,,0.0,,.333,8,/players/m/mccarmi01.html,,,,-0.2,,Mike McCarron,mccarmi01,G,1950.0,,TOT,,,.262,,,-0.1,,,"New York, New York"
24,,,,,,,1.9,,.556,68,/players/m/mcguidi01.html,,,,3.4,,Dick McGuire*,mcguidi01,PG,1950.0,,NYK,,,.417,,,5.3,,,"Huntington, New York"
31,,,,,,,1.7,,.241,53,/players/m/mckinbo01.html,,,,-1.5,,Bones McKinney,mckinbo01,SF,1950.0,,WSC,,,.352,,,0.2,,,"Lowlands, North Carolina"
22,,,,,,,0.9,,.371,58,/players/m/mcmulma01.html,,,,-0.4,,Mal McMullen,mcmulma01,F-C,1950.0,,INO,,,.365,,,0.6,,,"Fostoria, Ohio"
27,,,,,,,-0.7,,.340,62,/players/m/mehendi01.html,,,,6.3,,Dick Mehen,mehendi01,PF,1950.0,,WAT,,,.470,,,5.6,,,"Wheeling, West Virginia"
27,,,,,,,0.0,,.471,6,/players/m/menkeke01.html,,,,0.0,,Ken Menke,menkeke01,G,1950.0,,WAT,,,.365,,,0.0,,,"East Dundee, Illinois"
26,,,,,,,2.9,,.478,68,/players/m/miasest01.html,,,,2.8,,Stan Miasek,miasest01,C-F,1950.0,,CHS,,,.445,,,5.8,,,"New York, New York"
24,,,,,,,1.4,,.374,65,/players/m/mikaned01.html,,,,-0.6,,Ed Mikan,mikaned01,C,1950.0,,TOT,,,.361,,,0.8,,,"Joliet, Illinois"
25,,,,,,,5.8,,.456,68,/players/m/mikange01.html,,,,15.3,,George Mikan*,mikange01,C,1950.0,,MNL,,,.487,,,21.1,,,"Joliet, Illinois"
21,,,,,,,3.6,,.396,68,/players/m/mikkeve01.html,,,,5.6,,Vern Mikkelsen*,mikkeve01,PF,1950.0,,MNL,,,.466,,,9.2,,,"Fresno, California"
21,,,,,,,0.0,,1.000,8,/players/m/miksial01.html,,,,0.2,,Al Miksis,miksial01,C,1950.0,,WAT,,,.446,,,0.1,,,"IL,"
26,,,,,,,0.0,,.000,2,/players/m/mitchmu01.html,,,,0.0,,Murray Mitchell,mitchmu01,C,1950.0,,AND,,,.333,,,0.0,,,"Huntsville, Texas"
28,,,,,,,2.4,,.691,64,/players/m/mogusle01.html,,,,5.6,,Leo Mogus,mogusle01,F-C,1950.0,,PHW,,,.496,,,8.0,,,Ohio
24,,,,,,,-0.4,,.598,62,/players/m/morrima01.html,,,,4.4,,Max Morris,morrima01,F-C,1950.0,,SHE,,,.445,,,4.1,,,"Norris City, Illinois"
25,,,,,,,0.3,,.214,37,/players/m/mullajo01.html,,,,-0.9,,Joe Mullaney,mullajo01,G,1950.0,,BOS,,,.196,,,-0.6,,,"Long Island, New York"
21,,,,,,,0.2,,.143,14,/players/n/nagelje01.html,,,,-0.3,,Jerry Nagel,nagelje01,G,1950.0,,FTW,,,.218,,,-0.1,,,"Chicago, Illinois"
23,,,,,,,2.0,,.406,67,/players/n/nichoja01.html,,,,4.7,,Jack Nichols,nichoja01,PF,1950.0,,TOT,,,.440,,,6.7,,,
28,,,,,,,2.1,,.397,60,/players/n/niemiri01.html,,,,0.7,,Richie Niemiera,niemiri01,G-F,1950.0,,TOT,,,.394,,,2.7,,,"Chicago, Illinois"
25,,,,,,,0.8,,.299,65,/players/n/noelpa01.html,,,,0.0,,Paul Noel,noelpa01,F,1950.0,,NYK,,,.378,,,0.9,,,"Midway, Kentucky"
22,,,,,,,0.2,,.000,5,/players/n/nolanji01.html,,,,-0.3,,Jim Nolan,nolanji01,C,1950.0,,PHW,,,.190,,,-0.2,,,"Macon, Georgia"
28,,,,,,,0.7,,.290,40,/players/n/norlajo01.html,,,,-0.1,,Johnny Norlander,norlajo01,F,1950.0,,WSC,,,.380,,,0.6,,,"Virginia, Minnesota"
26,,,,,,,1.1,,.388,55,/players/n/nostrge01.html,,,,-0.7,,George Nostrand,nostrge01,C-F,1950.0,,TOT,,,.355,,,0.4,,,"Uniondale, New York"
34,,,,,,,1.6,,.315,60,/players/n/novakmi01.html,,,,-1.0,,Mike Novak,novakmi01,C-F,1950.0,,TOT,,,.292,,,0.6,,,"Chicago, Illinois"
21,,,,,,,0.7,,.209,61,/players/o/oconnde01.html,,,,-3.2,,Dermie O'Connell,oconnde01,G,1950.0,,TOT,,,.290,,,-2.5,,,"New York, New York"
24,,,,,,,0.3,,.167,25,/players/o/odonnan01.html,,,,0.1,,Andy O'Donnell,odonnan01,G,1950.0,,BLB,,,.388,,,0.3,,,"Freeland, Pennsylvania"
26,,,,,,,1.9,,.384,68,/players/o/okeefdi01.html,,,,0.2,,Dick O'Keefe,okeefdi01,G-F,1950.0,,WSC,,,.383,,,2.1,,,"San Francisco, California"
